feature,importance_mean,importance_std,positive_repeat_rate
NumOfProducts,0.2918630339028007,0.01172242360254256,1.0
Age,0.2728170943545379,0.01237896605097843,1.0
IsActiveMember,0.09906538915794308,0.010280918318973072,1.0
Balance,0.04868493504028589,0.005139578196985821,1.0
Geography,0.03989802513494943,0.006584175130405685,1.0
Gender,0.005711007956603819,0.002714084233614909,1.0
CreditScore,0.0010664899804529782,0.0012804597498732794,0.8
Tenure,0.0009821156057076897,0.0004752731641095884,1.0
EstimatedSalary,0.0005675653295471705,0.0006368003368126617,0.8
HasCrCard,-0.00016173630367867232,0.00032859837946383024,0.3
