threshold,precision,recall,f1,accuracy,specificity,fpr,fnr,tn,fp,fn,tp,total_cost
0.05,0.2738675958188153,0.9644171779141104,0.4265943012211669,0.47175,0.3456828885400314,0.6543171114599686,0.03558282208588957,2202,4168,58,1572,4458.0
0.06,0.29558907771624976,0.9496932515337423,0.4508519003931848,0.528625,0.4208791208791209,0.5791208791208791,0.05030674846625767,2681,3689,82,1548,4099.0
0.07,0.3155046826222685,0.9300613496932515,0.4711732711732712,0.574625,0.48367346938775513,0.5163265306122449,0.06993865030674846,3081,3289,114,1516,3859.0
0.08,0.33363228699551567,0.912883435582822,0.4886699507389162,0.61075,0.5334379905808477,0.46656200941915227,0.08711656441717791,3398,2972,142,1488,3682.0
0.09,0.35148752399232247,0.8987730061349694,0.5053466712659538,0.6415,0.5756671899529042,0.4243328100470958,0.10122699386503067,3667,2703,165,1465,3528.0
0.1,0.3692977960020502,0.8840490797546012,0.5209689081706436,0.66875,0.6136577708006279,0.3863422291993721,0.11595092024539877,3909,2461,189,1441,3406.0
0.11,0.3870436453472413,0.8650306748466258,0.5347999241418547,0.693375,0.6494505494505495,0.3505494505494505,0.13496932515337423,4137,2233,220,1410,3333.0
0.12,0.4016796988126267,0.850920245398773,0.5457407043084792,0.711375,0.6756671899529042,0.3243328100470958,0.149079754601227,4304,2066,243,1387,3281.0
0.13,0.4171498321635642,0.8386503067484663,0.5571632361931934,0.728375,0.7001569858712716,0.2998430141287284,0.16134969325153375,4460,1910,263,1367,3225.0
0.14,0.4282532612153993,0.8257668711656442,0.5640058663314477,0.739875,0.7178963893249608,0.2821036106750392,0.17423312883435582,4573,1797,284,1346,3217.0
0.15,0.44208430136077,0.8171779141104294,0.5737669610165841,0.752625,0.7361067503924646,0.26389324960753535,0.18282208588957055,4689,1681,298,1332,3171.0
0.16,0.45666550643926207,0.8049079754601227,0.5827226293582056,0.765125,0.7549450549450549,0.24505494505494507,0.1950920245398773,4809,1561,318,1312,3151.0
0.17,0.4709748083242059,0.7914110429447853,0.5905241474021515,0.776375,0.7725274725274726,0.22747252747252744,0.2085889570552147,4921,1449,340,1290,3149.0
0.18,0.48254931714719274,0.7803680981595092,0.5963431786216596,0.78475,0.7858712715855573,0.21412872841444275,0.2196319018404908,5006,1364,358,1272,3154.0
0.19,0.49174528301886794,0.7674846625766871,0.5994250119789171,0.791,0.7970172684458399,0.20298273155416013,0.23251533742331287,5077,1293,379,1251,3188.0
0.2,0.5042944785276073,0.756441717791411,0.6051533742331288,0.798875,0.8097331240188383,0.19026687598116165,0.24355828220858897,5158,1212,397,1233,3197.0
0.21,0.5170212765957447,0.745398773006135,0.6105527638190955,0.80625,0.8218210361067504,0.1781789638932496,0.254601226993865,5235,1135,415,1215,3210.0
0.22,0.5314159292035399,0.7368098159509202,0.6174807197943445,0.814,0.8337519623233909,0.16624803767660912,0.26319018404907973,5311,1059,429,1201,3204.0
0.23,0.54178145087236,0.7239263803680982,0.6197478991596639,0.819,0.8433281004709576,0.15667189952904237,0.27607361963190186,5372,998,450,1180,3248.0
0.24,0.5517568850902185,0.7128834355828221,0.6220556745182013,0.8235,0.8518053375196233,0.14819466248037672,0.2871165644171779,5426,944,468,1162,3284.0
0.25,0.5575221238938053,0.6957055214723926,0.618995633187773,0.8255,0.858712715855573,0.14128728414442704,0.3042944785276074,5470,900,496,1134,3380.0
0.26,0.5718654434250765,0.6883435582822086,0.6247216035634744,0.8315,0.8681318681318682,0.13186813186813184,0.3116564417177914,5530,840,508,1122,3380.0
0.27,0.5814814814814815,0.6742331288343558,0.6244318181818183,0.83475,0.8758241758241758,0.12417582417582418,0.3257668711656442,5579,791,531,1099,3446.0
0.28,0.5912568306010929,0.6638036809815951,0.6254335260115608,0.838,0.8825745682888541,0.11742543171114594,0.3361963190184049,5622,748,548,1082,3488.0
0.29,0.5961862030286035,0.6521472392638037,0.6229123937884559,0.839125,0.8869701726844584,0.11302982731554156,0.3478527607361963,5650,720,567,1063,3555.0
0.3,0.6046242774566474,0.6417177914110429,0.6226190476190476,0.8415,0.8926216640502355,0.10737833594976454,0.35828220858895704,5686,684,584,1046,3604.0
0.31,0.6140142517814727,0.6343558282208589,0.624019312009656,0.84425,0.8979591836734694,0.10204081632653061,0.3656441717791411,5720,650,596,1034,3630.0
0.32,0.6240048989589713,0.6251533742331289,0.6245786086423538,0.846875,0.9036106750392464,0.09638932496075359,0.37484662576687117,5756,614,611,1019,3669.0
0.33,0.6371120962634579,0.6171779141104294,0.6269866001869742,0.850375,0.9100470957613814,0.08995290423861857,0.38282208588957056,5797,573,624,1006,3693.0
0.34,0.6445743989603638,0.6085889570552148,0.6260650047333544,0.851875,0.9141287284144427,0.0858712715855573,0.3914110429447853,5823,547,638,992,3737.0
0.35,0.653485254691689,0.598159509202454,0.6245996156310057,0.8535,0.9188383045525903,0.0811616954474097,0.401840490797546,5853,517,655,975,3792.0
0.36,0.6577319587628866,0.587116564417178,0.620421393841167,0.853625,0.9218210361067504,0.07817896389324963,0.4128834355828221,5872,498,673,957,3863.0
0.37,0.6652572233967583,0.5791411042944785,0.6192194162020335,0.854875,0.9254317111459969,0.07456828885400313,0.4208588957055215,5895,475,686,944,3905.0
0.38,0.6765772298767223,0.5723926380368098,0.6201395812562313,0.857125,0.9299843014128728,0.0700156985871272,0.42760736196319016,5924,446,697,933,3931.0
0.39,0.6852678571428571,0.5650306748466257,0.6193678547410894,0.8585,0.9335949764521193,0.06640502354788069,0.4349693251533742,5947,423,709,921,3968.0
0.4,0.6928353658536586,0.5576687116564417,0.6179469748470428,0.8595,0.936734693877551,0.06326530612244896,0.4423312883435583,5967,403,721,909,4008.0
0.41,0.6962616822429907,0.5484662576687117,0.6135895676046671,0.85925,0.9387755102040817,0.061224489795918324,0.45153374233128835,5980,390,736,894,4070.0
0.42,0.7014331210191083,0.5404907975460123,0.6105336105336104,0.8595,0.9411302982731554,0.05886970172684458,0.45950920245398774,5995,375,749,881,4120.0
0.43,0.7100737100737101,0.5319018404907976,0.6082076464398457,0.860375,0.9444270015698587,0.055572998430141296,0.46809815950920247,6016,354,763,867,4169.0
0.44,0.7160804020100503,0.5245398773006135,0.6055240793201133,0.86075,0.9467817896389324,0.05321821036106755,0.4754601226993865,6031,339,775,855,4214.0
0.45,0.7189097103918228,0.5177914110429448,0.6019971469329529,0.8605,0.9481946624803768,0.05180533751962324,0.4822085889570552,6040,330,786,844,4260.0
0.46,0.7259194395796847,0.5085889570552147,0.598124098124098,0.86075,0.9508634222919937,0.04913657770800628,0.49141104294478527,6057,313,801,829,4318.0
0.47,0.7351885098743267,0.5024539877300613,0.596938775510204,0.86175,0.9536891679748822,0.046310832025117765,0.49754601226993866,6075,295,811,819,4350.0
0.48,0.7385321100917431,0.4938650306748466,0.5919117647058824,0.86125,0.9552590266875981,0.0447409733124019,0.5061349693251533,6085,285,825,805,4410.0
0.49,0.7443609022556391,0.48588957055214727,0.5879732739420935,0.86125,0.9572998430141287,0.04270015698587126,0.5141104294478528,6098,272,838,792,4462.0
0.5,0.7492822966507177,0.4803680981595092,0.5854205607476635,0.861375,0.9588697017268446,0.0411302982731554,0.5196319018404908,6108,262,847,783,4497.0
0.51,0.7598814229249012,0.4717791411042945,0.5821347464042392,0.862,0.9618524332810047,0.03814756671899533,0.5282208588957055,6127,243,861,769,4548.0
0.52,0.7639877924720244,0.4607361963190184,0.5748182166092615,0.861125,0.9635792778649922,0.0364207221350078,0.5392638036809816,6138,232,879,751,4627.0
0.53,0.7669094693028096,0.4521472392638037,0.5688923195677345,0.860375,0.9648351648351648,0.03516483516483515,0.5478527607361963,6146,224,893,737,4689.0
0.54,0.7755319148936171,0.447239263803681,0.5673151750972762,0.861,0.9668759811616955,0.033124018838304514,0.552760736196319,6159,211,901,729,4716.0
0.55,0.7774158523344191,0.4392638036809816,0.5613484907879264,0.860125,0.9678178963893249,0.032182103610675084,0.5607361963190184,6165,205,914,716,4775.0
0.56,0.7849223946784922,0.4343558282208589,0.5592417061611374,0.8605,0.9695447409733124,0.030455259026687553,0.5656441717791411,6176,194,922,708,4804.0
0.57,0.7938496583143508,0.42760736196319016,0.5558213716108452,0.86075,0.971585557299843,0.028414442700157028,0.5723926380368098,6189,181,933,697,4846.0
