model,label,precision,recall,f1-score,support
ProductionV2,Stay,0.8658109684947491,0.9321608040201005,0.8977616454930429,1592.0
ProductionV2,Churn,0.6223776223776224,0.4362745098039216,0.5129682997118156,408.0
DummyPrior,Stay,0.796,1.0,0.8864142538975501,1592.0
DummyPrior,Churn,0.0,0.0,0.0,408.0
LogisticRegression,Stay,0.8913202042304887,0.7675879396984925,0.8248396895038813,1592.0
LogisticRegression,Churn,0.4117647058823529,0.6348039215686274,0.4995178399228545,408.0
RandomForest,Stay,0.8773809523809524,0.9258793969849246,0.9009779951100244,1592.0
RandomForest,Churn,0.63125,0.4950980392156863,0.554945054945055,408.0
GradientBoosting,Stay,0.8616352201257862,0.946608040201005,0.9021251122418437,1592.0
GradientBoosting,Churn,0.6613545816733067,0.4068627450980392,0.503793626707132,408.0
HistGradientBoosting,Stay,0.8620492272467086,0.9459798994974874,0.9020664869721474,1592.0
HistGradientBoosting,Churn,0.6600790513833992,0.40931372549019607,0.5052950075642965,408.0
HistGradientBoosting+sigmoid,Stay,0.8888198757763975,0.8988693467336684,0.8938163647720175,1592.0
HistGradientBoosting+sigmoid,Churn,0.5871794871794872,0.5612745098039216,0.5739348370927319,408.0
