model,calibration,mean_predicted_probability,fraction_of_positives,count
HistGradientBoosting,uncalibrated,0.035097068766089916,0.032138442521631644,809
HistGradientBoosting,uncalibrated,0.04085166243598839,0.029411764705882353,816
HistGradientBoosting,uncalibrated,0.05884284982266302,0.06314432989690721,776
HistGradientBoosting,uncalibrated,0.08958464744004876,0.09359605911330049,812
HistGradientBoosting,uncalibrated,0.11915503562934623,0.1156289707750953,787
HistGradientBoosting,uncalibrated,0.1410754083161924,0.14232209737827714,801
HistGradientBoosting,uncalibrated,0.18533052360852428,0.17521902377972465,799
HistGradientBoosting,uncalibrated,0.2501421859443919,0.2512437810945274,804
HistGradientBoosting,uncalibrated,0.4392254141588135,0.43532338308457713,804
HistGradientBoosting,uncalibrated,0.6845131745183373,0.7045454545454546,792
HistGradientBoosting,sigmoid,0.032491836283538855,0.02736318407960199,804
HistGradientBoosting,sigmoid,0.03826813816211244,0.03128911138923655,799
HistGradientBoosting,sigmoid,0.05578614107133778,0.06625,800
HistGradientBoosting,sigmoid,0.08570790120842783,0.08531994981179424,797
HistGradientBoosting,sigmoid,0.11578713217015639,0.12468827930174564,802
HistGradientBoosting,sigmoid,0.13790621027319436,0.1376720901126408,799
HistGradientBoosting,sigmoid,0.18284627349070046,0.1802252816020025,799
HistGradientBoosting,sigmoid,0.24967543899646627,0.24659231722428748,807
HistGradientBoosting,sigmoid,0.44730337072553494,0.44388398486759145,793
HistGradientBoosting,sigmoid,0.6949619088275163,0.69625,800
HistGradientBoosting,isotonic,0.023016487171437335,0.03067484662576687,815
HistGradientBoosting,isotonic,0.03209758723604806,0.0316055625790139,791
HistGradientBoosting,isotonic,0.05747141717480482,0.06837606837606838,819
HistGradientBoosting,isotonic,0.08873861454607664,0.0963855421686747,830
HistGradientBoosting,isotonic,0.11899010765828207,0.12,775
HistGradientBoosting,isotonic,0.14352889134335414,0.13670886075949368,790
HistGradientBoosting,isotonic,0.17572780236867505,0.17285531370038412,781
HistGradientBoosting,isotonic,0.2485570146993863,0.24444444444444444,810
HistGradientBoosting,isotonic,0.4513678211945153,0.44627054361567636,791
HistGradientBoosting,isotonic,0.7076958388316014,0.6979949874686717,798
