threshold,precision,recall,f1,accuracy,specificity,fpr,fnr,tn,fp,fn,tp,total_cost,model,calibration
0.05,0.2527313624678663,0.9650306748466257,0.4005602240896359,0.4115,0.2698587127158556,0.7301412872841444,0.03496932515337423,1719,4651,57,1573,4936.0,HistGradientBoosting+sigmoid,sigmoid
0.06,0.2677766215747485,0.947239263803681,0.41752298539751215,0.4615,0.3372056514913658,0.6627943485086343,0.05276073619631902,2148,4222,86,1544,4652.0,HistGradientBoosting+sigmoid,sigmoid
0.07,0.2766460531102219,0.9331288343558283,0.42676767676767674,0.48925,0.3756671899529042,0.6243328100470957,0.06687116564417178,2393,3977,109,1521,4522.0,HistGradientBoosting+sigmoid,sigmoid
0.08,0.28458199660313266,0.9251533742331288,0.4352720450281426,0.510875,0.4048665620094192,0.5951334379905808,0.07484662576687116,2579,3791,122,1508,4401.0,HistGradientBoosting+sigmoid,sigmoid
0.09,0.29447611558875564,0.9190184049079755,0.4460324549650141,0.534875,0.43657770800627943,0.5634222919937206,0.08098159509202454,2781,3589,132,1498,4249.0,HistGradientBoosting+sigmoid,sigmoid
0.1,0.29939516129032256,0.911042944785276,0.4506828528072837,0.5475,0.45447409733124017,0.5455259026687598,0.08895705521472393,2895,3475,145,1485,4200.0,HistGradientBoosting+sigmoid,sigmoid
0.11,0.31082858395440593,0.8699386503067484,0.4580103359173126,0.5805,0.506436420722135,0.493563579277865,0.13006134969325153,3226,3144,212,1418,4204.0,HistGradientBoosting+sigmoid,sigmoid
0.12,0.3278959810874704,0.850920245398773,0.47337883959044363,0.61425,0.5536891679748822,0.4463108320251178,0.149079754601227,3527,2843,243,1387,4058.0,HistGradientBoosting+sigmoid,sigmoid
0.13,0.34845360824742266,0.8294478527607362,0.4907441016333938,0.64925,0.6031397174254317,0.3968602825745683,0.1705521472392638,3842,2528,278,1352,3918.0,HistGradientBoosting+sigmoid,sigmoid
0.14,0.37355990783410137,0.7957055214723926,0.5084280674245394,0.6865,0.6585557299843015,0.34144427001569855,0.20429447852760735,4195,2175,333,1297,3840.0,HistGradientBoosting+sigmoid,sigmoid
0.15,0.3849908480780964,0.7742331288343558,0.5142624286878565,0.702,0.6835164835164835,0.31648351648351647,0.22576687116564417,4354,2016,368,1262,3856.0,HistGradientBoosting+sigmoid,sigmoid
0.16,0.3954891994917408,0.7638036809815951,0.52113855169527,0.714,0.7012558869701727,0.2987441130298273,0.2361963190184049,4467,1903,385,1245,3828.0,HistGradientBoosting+sigmoid,sigmoid
0.17,0.4139821795750514,0.7411042944785277,0.5312225153913808,0.7335,0.7315541601255887,0.2684458398744113,0.2588957055214724,4660,1710,422,1208,3820.0,HistGradientBoosting+sigmoid,sigmoid
0.18,0.42593263310394786,0.7214723926380369,0.5356410840355271,0.745125,0.7511773940345369,0.24882260596546313,0.2785276073619632,4785,1585,454,1176,3855.0,HistGradientBoosting+sigmoid,sigmoid
